19
805 963
700 432 -166
126 894 920
581 662 -853
881 261 -783
43 866 -668
832 221 368
75 660 -393
818 140 2
735 484 -202
543 10 -15
630 12 195
132 970 -387
32 914 224
747 384 -728
616 557 -37
490 715 -801
897 425 926
359 617 -411
276 48 -997
265 477 794
311 741 564
434 494 -562
833 930 59
31 191 -131
204 209 -351
210 550 -587
352 367 -929
633 942 -800
651 200 -543
772 932 669
964 480 -387
25 778 -211
367 120 36
361 293 -871
602 38 -900
17 626 -932
917 763 -834
526 850 -954
932 347 -818
447 810 720
851 622 946
579 368 -858
227 201 -983
702 869 501
816 516 205
693 276 -78
370 858 100
975 725 462
405 187 -69
417 326 -421
671 801 61
763 547 -395
399 654 715
262 440 423
407 530 579
863 953 684
925 52 -273
471 297 -337
898 950 -632
304 457 898
342 189 -959
635 848 381
938 923 893
11 139 -740
959 596 953
847 644 -51
154 132 -346
954 483 -600
246 74 30
17 915 310
508 761 -36
231 114 -847
88 355 -556
54 601 511
224 371 -467
207 728 -590
581 639 -428
844 54 -984
645 432 -375
73 762 348
860 238 3
392 904 686
573 478 896
644 535 -626
610 968 262
13 139 -291
325 204 -443
795 53 653
709 335 -70
457 326 -611
638 342 973
88 793 619
770 200 -790
797 492 863
867 2 -427
693 112 392
184 206 -392
825 355 535
749 840 169
287 295 646
285 64 -792
790 770 796
46 835 -663
781 171 260
701 896 192
206 841 665
129 236 -801
241 849 650
917 57 -792
661 425 -274
952 308 -835
126 934 -214
870 609 -709
802 312 -582
719 457 -289
127 298 693
695 575 -440
876 799 18
692 842 874
76 378 411
965 594 -728
431 436 207
325 739 44
44 67 -653
740 786 -73
326 711 563
426 32 -148
371 936 589
294 637 -43
857 449 -825
94 343 -231
713 647 775
354 855 -127
115 800 272
194 799 425
106 260 -480
722 124 -930
811 587 743
91 609 -196
170 71 -990
59 637 83
448 4 -516
58 596 223
851 20 753
540 238 -3
536 542 220
883 786 -607
184 602 -531
491 59 -790
680 528 920
789 957 -633
965 362 -567
517 627 -81
81 447 -480
167 7 -504
620 216 -484
89 168 369
357 806 729
863 401 -890
821 976 -720
614 482 252
890 256 729
522 618 -839
421 377 -77
943 686 -208
380 663 631
553 78 501
148 553 770
601 218 -284
978 541 -143
775 728 -501
783 330 506
327 378 781
610 335 -638
179 569 553
196 495 126
792 228 -110
824 924 -723
602 19 262
393 263 97
769 546 -698
969 751 855
79 173 -890
879 425 950
854 364 706
393 605 659
375 759 653
896 44 -883
305 200 -102
231 47 122
848 138 316
397 837 226
345 904 -776
322 304 52
567 861 -817
677 891 -603
73 487 512
80 68 -256
878 949 -350
426 978 -568
828 854 -389
705 499 334
910 774 -483
462 561 -45
2 200 756
945 533 891
133 649 -112
339 414 933
940 301 688
319 890 -288
430 835 866
624 250 672
395 704 -610
890 922 464
288 177 -371
666 68 -403
118 222 -528
592 601 570
159 904 515
818 275 -728
303 795 -630
328 846 82
100 619 756
923 844 485
72 579 -780
571 160 309
55 59 -969
882 255 382
413 548 -97
480 84 248
818 416 70
484 959 -89
112 311 597
657 801 -53
736 873 -64
781 378 -597
82 967 -387
240 316 553
213 485 71
730 400 -179
32 488 -272
240 40 -5
506 309 43
814 692 581
16 284 580
510 172 355
517 76 788
235 435 624
431 918 -659
459 671 -557
164 180 -156
729 458 378
547 445 -68
895 430 607
559 849 -401
678 714 252
513 651 501
292 114 516
831 308 -212
804 318 -465
910 634 -665
553 769 -59
514 587 297
552 147 -516
915 447 -952
412 68 522
355 243 608
844 201 -913
659 881 765
647 236 -121
44 26 -714
458 349 -470
348 536 -654
178 676 -668
406 355 -847
65 422 -654
360 851 182
734 167 376
430 538 -839
502 529 -526
38 163 163
718 947 -126
905 231 356
554 912 -810
247 463 -53
596 466 -524
765 813 110
681 656 182
656 297 -427
931 329 -743
402 65 289
108 238 -196
363 796 644
92 94 660
940 757 59
147 144 561
107 872 8
544 804 260
553 705 215
647 386 522
797 947 -48
734 247 724
804 897 160
114 806 315
137 63 -27
314 875 -668
349 388 853
508 345 -199
697 835 68
552 773 -523
661 555 -476
810 155 -388
604 411 -197
132 34 382
772 735 930
253 642 -302
732 460 -709
605 637 580
930 72 -233
172 636 -330
562 84 -567
70 176 384
665 927 177
606 31 -140
600 709 930
327 820 227
247 519 -469
547 179 920
471 955 -571
710 716 800
531 294 -630
622 258 664
966 954 32
615 589 -510
755 531 -886
213 22 -430
545 544 -864
267 625 116
481 141 945
703 225 856
911 426 35
65 322 694
62 76 379
872 974 222
61 520 -964
268 855 379
336 408 -160
910 949 347
166 333 932
975 383 444
38 468 332
255 558 -798
406 829 -300
492 82 596
876 99 -853
943 292 -308
432 499 763
276 897 -948
694 932 -442
737 222 -798
737 647 774
475 593 -461
274 602 -147
701 259 595
408 122 554
348 961 -783
700 797 -864
631 589 481
183 236 -747
711 104 408
448 235 -525
704 671 809
13 487 -870
833 595 542
177 803 -652
901 321 -677
740 255 345
969 823 98
916 971 499
872 481 292
71 34 -388
871 897 -955
153 798 -26
299 679 757
788 964 -151
783 767 -519
725 489 -655
412 690 -594
329 900 407
975 410 152
461 343 970
42 91 -402
50 872 -896
511 809 -425
768 838 -795
196 955 -296
545 363 -133
202 64 782
249 256 21
14 12 72
546 139 -457
743 675 862
236 298 -568
552 356 -882
677 349 176
295 371 -118
166 273 308
773 871 794
120 567 346
284 785 998
611 291 -449
653 942 120
163 3 360
945 456 421
161 742 329
960 608 1
592 383 603
426 381 136
942 765 327
256 8 -817
18 559 234
817 839 -146
602 109 59
222 450 231
446 222 628
896 417 -226
747 134 524
347 958 -714
661 847 -972
88 426 -26
886 466 -86
187 696 -379
62 488 821
524 811 -852
459 502 -936
242 334 -510
193 444 351
661 855 -767
445 520 410
59 594 137
625 22 554
639 56 814
495 363 692
688 156 324
174 312 424
45 151 -118
38 575 -143
613 451 -294
321 651 -353
408 358 921
873 306 755
551 869 118
26 495 -889
133 67 -914
66 871 -93
359 518 -348
841 214 -729
842 337 -612
403 613 621
131 592 -600
415 853 -428
862 322 -405
331 97 844
373 773 -549
187 426 -213
473 492 -50
335 624 -6
608 85 -839
191 540 714
131 477 -78
54 69 -762
591 126 325
41 474 165
948 527 -737
19 960 498
681 3 -246
728 416 -212
813 497 994
967 632 -62
756 921 348
425 165 -98
271 691 -987
174 367 -384
765 20 -647
858 229 723
907 177 632
238 124 -848
653 58 -896
646 167 939
462 477 -357
37 648 -371
962 222 761
852 233 596
701 576 -24
355 899 -859
532 173 189
864 609 -167
641 712 -118
102 715 79
830 242 -663
820 420 -313
614 139 496
472 426 -747
360 363 -272
692 909 944
931 214 -448
877 935 970
150 886 111
877 677 -436
621 690 495
866 358 534
255 439 -393
390 881 -815
923 562 429
495 417 -723
205 38 292
965 680 -307
659 467 -133
243 377 975
404 678 -921
139 291 717
189 745 206
340 333 2
293 354 644
935 444 551
597 249 350
767 636 -430
656 438 -804
960 185 -597
896 419 -178
335 48 481
543 108 -8
916 65 -840
455 835 951
728 715 777
738 189 345
856 680 695
25 443 155
863 287 856
584 649 53
561 800 606
474 972 466
237 906 -854
708 955 402
698 98 -553
790 313 861
760 892 -899
971 883 -711
281 270 -200
854 915 -230
465 791 50
223 917 -689
843 661 -180
952 473 -442
196 165 -946
717 801 -53
307 282 244
617 601 -244
840 827 192
49 933 -485
8 131 162
562 312 174
275 869 801
546 135 -680
38 592 622
426 953 187
582 144 -168
265 730 165
539 76 64
756 815 778
968 152 208
338 594 805
833 115 932
338 475 -420
370 415 879
762 386 -863
694 170 -703
740 830 353
249 347 -891
577 46 109
965 976 -58
428 702 -186
98 171 855
449 548 -913
799 276 -956
313 17 -59
361 796 197
584 676 -207
926 570 672
816 882 989
848 211 775
154 7 955
307 635 48
495 233 -117
219 264 462
775 415 -540
603 297 38
296 566 970
724 138 313
187 527 -473
177 942 -109
140 647 -254
239 788 628
743 971 340
603 847 557
683 272 355
573 788 578
796 925 -652
544 791 -404
835 59 -439
903 945 -105
158 660 420
920 526 789
476 613 -565
934 848 -145
167 441 -301
739 806 817
578 273 -64
838 91 233
572 818 -335
425 603 374
36 230 954
500 454 986
521 786 55
115 64 -187
760 148 367
377 84 517
845 314 -82
694 22 -563
586 32 762
256 171 -993
53 642 22
294 360 988
918 759 228
205 326 788
723 880 776
339 727 270
806 834
64 404 -215
730 166 -77
747 276 -663
551 32 662
406 253 -974
149 772 274
84 724 987
466 286 93
439 504 -562
789 104 569
200 412 -610
532 219 -654
706 66 -920
15 664 493
159 61 111
487 764 -682
150 419 -763
515 316 -792
371 754 791
575 727 -420
480 549 556
634 114 886
157 197 -646
486 149 26
81 122 -830
168 689 -918
441 106 -1000
75 39 -253
25 648 -129
235 18 105
74 801 -692
164 85 -399
208 701 -174
379 550 363
259 516 -994
602 645 420
102 574 -180
41 397 795
39 555 149
334 552 -589
610 374 -890
659 202 994
125 329 -128
74 182 -339
780 322 351
100 275 -698
246 24 909
161 731 371
279 507 -289
642 517 -434
639 674 -221
359 733 339
368 593 498
527 75 956
698 59 82
478 436 -863
805 799 880
39 4 669
801 362 403
310 642 813
793 663 -843
669 152 -978
434 624 587
387 51 195
762 441 103
333 612 -899
8 254 -735
240 163 427
731 156 -39
46 716 9
795 205 -616
177 256 584
674 365 -736
521 10 -104
582 47 995
428 736 -473
232 305 -493
11 64 -494
233 391 -366
193 569 -759
209 417 918
358 19 174
544 643 435
596 34 -496
731 438 786
400 730 -87
517 675 -667
353 160 558
677 789 264
372 686 -427
466 615 -597
470 778 -816
444 449 -36
198 292 -838
372 667 832
689 532 -556
643 68 -870
552 533 731
724 344 -609
777 173 134
14 261 -90
427 66 845
71 668 -591
335 360 867
464 24 409
203 793 -300
642 102 -672
337 662 413
430 695 476
88 465 820
557 346 -188
745 386 465
297 545 593
643 805 391
455 457 945
363 486 -306
105 154 662
389 587 878
548 449 -8
452 331 164
628 186 757
313 201 -737
784 4 256
732 7 -221
738 130 -428
554 477 886
782 733 -953
583 218 562
436 249 -681
20 211 468
773 525 41
708 215 737
766 269 292
263 219 -652
245 22 917
138 637 626
332 85 -308
516 1 -506
776 341 -220
664 393 -602
503 74 803
61 158 -605
297 491 477
251 444 -747
397 411 670
613 228 710
472 353 921
795 24 608
88 746 174
508 256 862
556 397 -804
204 522 790
311 675 -457
358 188 -415
260 97 596
65 32 47
215 194 978
735 616 143
25 139 -991
516 104 -26
266 761 364
430 409 -48
59 753 -101
736 776 -338
206 134 964
647 110 -343
500 148 943
683 298 -763
725 777 -815
595 358 780
255 400 39
170 4 648
133 322 420
735 290 -152
303 702 281
628 129 -724
780 8 -735
461 710 54
510 327 -344
597 37 -355
465 390 581
704 19 -15
625 685 87
453 120 205
390 486 -74
774 279 -194
401 229 598
25 387 -143
407 149 -834
763 207 -605
547 372 -437
550 434 -269
552 577 82
201 698 -79
723 272 -169
2 218 -79
517 453 -167
590 454 437
245 5 -476
574 545 -773
780 715 22
709 480 -141
71 42 -868
245 294 -547
451 512 -709
433 356 -953
149 522 892
172 388 -357
668 96 -879
443 113 600
279 331 -674
244 302 -985
343 353 312
662 174 475
402 293 -338
521 376 -333
164 406 -62
130 60 -928
279 273 816
483 291 -537
108 269 916
86 560 667
751 183 -947
547 114 -549
38 101 408
248 436 408
530 630 400
803 4 -63
707 693 -515
689 557 -808
591 441 583
496 274 -529
455 161 -706
430 803 -740
132 424 -698
371 244 416
797 298 -977
135 127 579
758 484 -168
782 223 -524
238 369 -806
572 427 637
196 542 958
182 284 -16
175 491 -692
458 538 -764
214 562 369
663 498 -214
362 585 -935
450 39 -949
11 747 -903
678 319 818
728 346 688
441 261 837
749 607 625
188 602 220
167 741 -387
355 555 506
532 667 -552
712 441 -952
696 704 180
188 683 -40
643 582 18
95 243 -160
788 431 143
117 378 -320
665 341 148
218 626 -88
497 390 881
294 53 44
101 266 758
504 24 -855
340 181 316
146 388 -230
536 560 647
297 357 -157
455 784 354
619 189 815
688 11 -863
564 491 -824
206 609 733
790 81 49
165 84 224
526 674 -58
628 521 -101
91 495 -375
396 339 109
673 712 10
714 495 83
315 494 -304
265 256 -528
363 357 58
85 245 837
615 75 695
125 405 -448
627 250 893
601 299 67
53 575 -350
539 433 315
352 40 -891
685 214 385
409 544 -890
553 16 103
516 143 454
137 36 215
648 573 555
426 326 -289
259 311 951
285 701 555
710 417 -949
133 607 -177
740 169 -680
415 427 308
772 757 256
406 258 -48
806 727 -727
446 718 -390
133 351 -159
735 585 -58
445 336 853
441 667 -11
768 154 -216
602 773 -579
715 343 -97
489 450 -359
157 747 983
86 477 948
11 284 157
473 395 919
603 663 168
19 131 827
105 655 -877
457 671 640
114 675 17
166 14 -60
102 236 -336
68 255 -640
216 663 933
783 71 487
749 179 663
600 119 -804
98 509 -363
258 129 -712
342 358 -506
256 765 550
569 572 745
32 797 -200
333 612 603
42 667 913
591 562 -963
407 495 931
480 671 -305
161 312 994
129 684 -205
255 732 64
307 305 464
530 442 -761
104 86 414
514 75 -979
693 504 605
582 553 -772
356 390 276
232 203 -372
685 592 -618
424 735 131
191 199 214
269 613 391
756 559 -389
131 775 970
692 526 77
314 496 -933
622 210 901
573 57 -621
649 605 -139
53 797 -609
750 639 769
180 116 24
724 610 699
714 560 -841
274 534 -746
597 776 6
248 768 608
497 639 220
233 386 497
229 292 138
412 74 -40
509 38 -989
338 488 224
137 382 800
412 120 -718
594 748 -978
286 188 32
37 224 -627
450 30 -282
800 508 452
568 416 204
315 364 782
248 680 -148
714 434 26
99 181 772
725 371 550
89 380 784
483 165 -841
628 319 897
357 209 -521
421 648 542
770 647 -161
89 592 348
456 561 -123
712 318 839
334 288 746
123 766 -122
359 399 751
682 123 -704
389 301 -281
210 619 911
615 158 -881
279 268 132
148 63 751
232 31 28
145 50 -991
723 289 -993
236 217 307
131 634 452
419 782 -670
728 443 625
97 543 873
15 558 930
14 125 -699
144 733 531
222 616 933
783 256 238
607 37 -594
154 31 151
262 673 956
54 725 -516
728 499 -938
463 653 907
303 39 763
238 186 -230
305 79 -137
797 336 716
503 798 -409
196 83 -413
125 421 158
526 783 719
173 10 21
703 330 17
224 391 -440
541 455 -333
140 179 709
207 571 876
13 561 -297
101 460 -885
772 721 -980
605 191 -743
23 774 -25
303 292 -389
424 328 -571
630 37 590
507 792 -345
302 167 654
540 344 -906
406 612 926
755 248 -103
248 544 -606
125 460 598
721 555 479
12 293 230
72 512 651
87 155 118
536 425 652
30 44 -355
731 307 503
68 734 76
473 396 196
652 234 -716
405 202 340
600 124 -634
380 681 271
298 568 -305
459 405 213
124 755 -238
626 581 -583
109 429 -149
3 270 623
587 337 -657
17 65 998
395 156 -206
288 4 -967
117 236 451
425 671 536
625 174 -165
439 55 415
100 512 -921
185 192 -369
138 772 -205
252 802 564
642 152 -309
135 690 -961
150 250 -537
725 460 796
458 549 -694
596 109 -550
221 754 -324
675 521 -32
437 663 188
142 260 486
422 42 498
645 449 823
597 356 56
11 110 801
381 643 -961
795 412 -744
657 309 -388
776 390 899
152 334 352
413 196 -434
740 52 356
459 806 -841
140 75 214
263 234 -909
547 379 579
38 714 -103
336 743 -979
1 516 -184
226 421 232
755 134 -456
123 181 447
24 43 -506
640 402 -612
218 202 378
489 416 -252
213 619 134
208 272 914
348 628 69
730 151 226
61 109 -31
251 192 198
219 742 -501
593 350 -562
518 308 34
396 217 -391
724 188 483
234 215 313
240 642 -791
112 207 -879
144 584 -655
139 80 804
521 560 -762
291 597 561
559 386 100
629 109 -151
424 205 480
365 274 127
123 404 -611
370 633 -631
557 158 198
374 676 889
690 732 152
678 806 683
390 679 450
768 527 -205
194 433 349
442 202 808
59 251 519
550 743 -951
501 376 44
72 37 74
66 429 844
60 146 -266
700 27 938
23 73 -304
499 207 551
310 522 359
444 621 -145
585 10 -155
179 392 394
510 703 153
391 266 -870
325 642 764
752 416 587
23 119 -112
680 414 -12
111 678 -664
644 156 6
755 559 -446
350 693 219
421 498 -337
481 428 95
707 161 113
560 197 777
47 282 466
749 102 -357
260 560 -39
369 701 690
495 454 490
28 352 752
755 513 -197
594 4 -775
445 673 -614
23 257 -786
422 18 260
482 269 -897
345 70 -679
364 424 849
741 260 -939
434 523 -800
663 160 502
419 609 839
601 295 -740
398 106 374
246 268 301
621 79 -44
288 200 781
370 209 683
180 616 -712
734 242 -491
368 233 827
226 43 102
121 636 -434
798 697 461
323 319 -338
263 652 385
63 456 -140
25 217 276
784 213 -930
688 126 101
606 354 568
64 803 -800
61 763 -793
788 797 389
409 89 206
747 778 995
555 644 564
290 245 -474
176 51 786
311 573 -631
300 654 908
215 364 884
592 516 -10
777 125 -76
283 766 -431
48 102 -632
482 10 -970
387 799 741
87 689 -572
712 353 -181
504 593 286
600 569 -687
707 643 585
71 768 193
666 413 -114
364 612 -630
416 29 403
148 580 235
382 508 -132
266 792 119
197 401 40
235 555 -174
133 707 694
672 495 -273
394 236 217
398 672 982
184 307 -371
136 741 -302
14 283 876
180 736 942
648 305 848
289 144 -851
397 763 -950
511 755 720
91 162 265
15 595 550
232 375 -72
299 767 990
778 331 252
564 307 -557
40 459 6
1 379 -946
428 481 -550
313 352 512
115 147 264
597 663 -65
172 246 -387
542 207 400
97 195 964
546 174 689
547 383 690
330 318 49
307 78 934
422 403 -371
501 62 459
373 744 -726
138 546 -622
38 708 -686
754 321 963
297 558 87
670 526 49
508 696 -186
275 63 209
475 504 241
68 359 744
73 468 -318
98 346 520
237 665 -686
389 401 54
412 333 -72
49 28 -763
508 227 -408
714 85 -254
29 796 -231
585 51 -72
790 272 -413
489 134 75
537 410 490
738 341 237
466 483 355
734 479 -282
398 11 53
498 33 362
513 379 -92
401 407 50
143 678 -78
117 440 793
558 364 -45
8 121 683
14 465 -948
726 355 531
526 477 -6
113 738 -573
22 149 329
454 576 565
231 683 169
169 603 -376
199 114 942
255 722 -659
179 290 -365
520 532 350
292 269 150
527 479 102
280 249 686
441 780 867
697 315 -589
156 150 -743
594 260 -602
452 339 -952
169 504 -458
18 291 704
496 664 -884
778 634 -767
305 105 652
113 603 -154
383 596 176
558 328 823
67 797 -98
777 744 -166
114 133 -612
112 434 273
172 109 -877
783 432 -110
488 553 -269
597 103 861
308 326 -5
648 84 51
366 736 -48
788 386 749
523 608 71
376 648 -4
575 743 333
160 238 -689
358 180 475
776 557 361
393 390 -104
292 338 -805
651 97 -233
787 408 305
349 299 -637
629 776 427
611 221 -233
714 410 -616
433 121 -736
565 768 41
650 707 553
308 459 -806
486 357 860
722 296 -340
631 693 -958
465 334 -616
762 710 -708
220 202 737
31 582 -810
551 657 -291
232 304 359
9 682 87
539 701 -939
549 518 141
802 700 -422
724 522 596
1 354 684
508 420 -194
222 638 806
446 181 -670
56 701 -555
704 335 326
261 8 169
401 139 -831
583 370 971
255 704 872
753 525 454
744 543 783
289 580 -883
210 42 693
408 483 767
185 292 -424
778 52 366
356 237 916
213 110 -199
266 240 -243
254 376 54
11 589 -163
712 206 -680
56 406 -257
669 21 -970
48 244 -275
643 503 -904
470 350 318
222 166 138
637 608 350
717 358 991
400 569 908
447 478 457
392 443 572
474 282 978
996 979
105 628 239
938 831 -442
728 568 -700
266 692 -871
562 472 -232
402 56 270
622 190 -7
851 526 -610
91 312 479
508 195 -606
472 755 537
475 440 202
831 191 -202
776 862 -293
578 807 -219
296 367 588
515 927 -828
842 871 79
72 381 -515
398 245 727
945 948 442
715 34 535
461 731 -799
768 938 -506
909 468 -940
64 793 980
159 801 -439
861 843 -931
600 985 197
221 987 -479
963 362 904
680 603 -401
797 630 -867
615 610 503
379 560 594
459 455 412
407 900 -11
858 917 -277
426 465 -312
311 914 -230
333 43 950
197 588 915
106 82 -317
249 841 -226
739 836 -568
154 5 -797
728 706 441
343 538 -885
937 254 24
817 384 -1000
790 321 576
923 414 890
392 386 690
162 870 792
669 534 764
938 814 140
174 81 637
334 24 -806
977 820 -782
283 560 555
33 21 -681
147 70 606
87 90 601
181 702 549
79 132 986
360 430 529
487 968 -618
883 791 234
550 329 60
392 196 352
316 327 -964
990 875 -699
730 673 -130
801 986 -366
941 319 294
882 912 -566
494 175 313
883 147 -355
631 307 382
358 970 -842
326 475 -385
882 519 270
65 72 -145
164 307 -598
551 905 -305
355 449 -228
314 145 55
187 371 493
666 924 242
745 508 -482
584 938 414
962 239 702
175 78 330
127 698 77
2 720 21
503 246 -347
61 95 -800
727 315 718
889 114 -953
60 534 -489
131 333 903
858 39 229
749 934 -114
537 363 439
305 379 -972
375 497 988
958 603 971
302 975 24
686 662 -906
9 904 -315
42 593 -912
952 124 415
491 773 661
232 359 -912
732 301 408
670 276 522
113 965 512
33 910 -346
212 122 205
398 282 80
44 956 398
118 246 865
758 608 982
413 701 647
498 715 -80
563 812 -882
818 777 609
603 202 -674
828 893 136
466 150 147
349 48 21
280 660 465
483 524 -980
504 21 371
305 772 256
880 327 -629
855 856 728
428 438 362
490 59 -425
503 982 -706
650 462 870
91 526 116
338 349 514
922 711 -215
732 647 165
319 608 384
480 333 -401
297 925 916
523 335 -190
488 388 935
838 766 -433
519 592 822
296 150 314
492 975 -353
629 812 430
702 710 122
823 31 -986
706 184 -624
45 915 599
873 938 523
853 358 600
900 90 94
382 395 -66
921 351 70
183 968 358
925 400 583
636 933 573
416 448 524
873 666 -935
566 341 -941
511 172 -317
622 463 986
526 186 -756
905 752 -496
341 668 296
54 462 -605
928 359 185
301 959 151
606 336 -85
43 264 403
255 409 607
795 721 949
722 693 105
405 765 663
224 490 -266
107 125 717
934 443 -927
168 618 66
780 621 -83
143 699 855
540 422 -78
302 452 525
273 419 492
921 477 -560
222 340 713
206 959 444
323 249 -144
595 631 731
604 949 548
962 848 -18
247 101 168
145 282 -986
801 680 610
338 529 -422
622 470 14
407 716 -286
473 447 994
500 44 -713
747 6 265
985 383 -735
590 268 220
217 405 490
619 316 114
572 960 774
332 993 476
348 16 -512
511 707 -624
275 890 -922
856 323 241
155 216 122
265 314 -471
729 493 981
415 259 826
385 682 -739
236 606 21
353 530 403
446 972 -898
480 559 -420
34 966 214
913 947 -241
131 863 -814
334 50 354
984 142 319
809 907 -329
181 357 349
797 914 -362
313 685 236
72 896 961
188 511 -954
288 224 218
767 13 85
763 96 -975
862 600 -841
14 210 954
940 924 -292
445 30 897
966 673 -84
698 675 -704
55 463 -870
66 6 526
337 599 -524
331 320 310
711 67 321
396 406 -646
491 8 506
981 119 183
301 897 -696
303 360 -463
885 499 -527
627 179 -191
40 714 908
675 302 -95
436 459 -200
868 601 -575
718 655 505
265 313 681
719 367 -694
241 337 175
390 984 -918
325 795 -165
885 972 -428
570 710 883
951 489 313
602 812 -418
182 577 618
569 736 341
758 62 -529
434 270 435
500 76 -940
258 179 -298
287 673 -885
495 325 176
918 37 -56
323 144 -451
896 356 -449
295 464 833
128 721 570
239 276 992
626 284 646
17 471 -427
624 462 591
649 458 240
357 544 589
661 248 -985
467 164 -371
106 310 750
4 944 742
302 962 -413
658 306 -191
898 274 -858
158 97 -327
285 361 -569
724 38 273
135 357 -726
528 180 -939
944 941 224
419 359 -327
136 482 882
549 332 459
221 812 893
850 668 55
745 477 670
365 848 744
494 764 -161
705 329 -127
692 831 -403
899 104 548
69 397 970
860 272 337
763 988 277
487 844 -60
369 581 -496
532 946 -212
489 476 -759
996 302 986
249 987 159
878 627 -579
813 502 -180
512 101 503
62 877 670
373 844 417
76 409 -264
414 780 942
748 137 853
299 740 -735
819 580 -140
952 339 -683
315 759 360
626 560 -965
974 777 120
192 761 591
493 976 562
216 830 -594
202 526 -3
820 778 -997
17 610 160
527 368 -417
439 206 613
25 59 -343
369 882 -174
148 875 -520
731 405 -810
218 160 478
346 566 93
397 823 257
79 831 -686
696 485 390
140 47 -85
261 220 -262
701 69 709
255 411 183
14 271 -749
679 382 -300
788 784 104
900 768 -422
960 590 -955
142 348 -991
229 542 468
359 496 597
269 181 -346
810 213 -842
616 352 706
938 635 -882
615 333 -891
951 690 -902
398 276 -359
949 945 -594
128 852 771
839 414 409
432 442 -781
388 589 273
959 456 -53
951 850 -208
751 15 -155
992 353 -254
349 308 -645
634 520 -75
670 383 515
917 608 91
333 971 81
334 826 622
753 373 -35
655 303 215
107 67 258
93 194 894
204 887 355
945 320 941
710 846 409
996 852 -907
862 944 690
531 170 -1
91 459 660
844 414 354
845 232 140
620 515 673
838 739 213
636 103 -722
810 535 9
258 821 122
799 378 -351
186 669 694
469 928 332
853 350 -391
886 838 -429
777 929 87
90 591 28
95 336 185
19 312 -920
946 844 527
120 901 -48
667 561 985
46 489 -104
426 827 -781
712 434 -621
580 760 -853
184 705 613
612 634 -943
732 59 133
629 313 594
5 540 -265
229 948 -407
812 246 683
104 55 -650
622 475 -513
879 414 -124
875 153 -269
87 446 979
162 77 927
940 551 -955
369 255 -677
942 3 123
977 281 -973
842 341 -789
326 720 -535
399 351 -804
65 177 659
698 385 763
567 48 -856
229 83 -895
515 518 -756
74 659 -556
451 134 -263
90 886 -422
730 90 -457
420 358 -14
626 747 217
585 11 915
781 823 -164
957 321 975
749 893 -671
288 220 278
778 456 929
779 15 575
718 977 -159
747 218 -892
853 952 739
11 939 -571
936 516 977
467 576 -939
841 323 995
398 379 603
255 671 -63
330 269 709
265 329 -12
20 835 -131
557 820 -840
202 888 301
863 172 244
617 667 -820
461 825 458
676 163 779
52 755 -478
743 325 -868
90 3 -58
399 249 407
95 532 388
474 441 -373
162 218 239
493 769 78
892 464 93
583 270 815
881 70 727
840 217 842
361 183 -572
362 217 432
438 525 -86
570 394 -950
780 89 -642
592 506 -951
312 423 -643
669 320 -968
168 572 848
675 140 636
941 465 -318
437 541 855
892 534 -139
450 267 -147
535 612 962
753 12 80
929 707 895
607 600 -721
793 425 130
832 631 -103
227 573 949
336 10 71
346 564 -687
344 272 606
817 585 -370
496 11 462
505 476 -68
890 646 -417
520 945 -897
724 884 -927
989 102 -403
413 664 874
953 835 -506
36 470 119
612 217 -413
623 597 -133
183 820 659
66 890 -236
191 591 -468
26 989 569
596 449 575
85 528 576
627 366 -139
673 880 200
933 586 693
510 288 -1
233 723 339
158 589 13
577 258 -311
762 349 -702
453 385 -38
420 728 -618
394 722 712
451 769 731
318 360 -459
116 613 547
257 5 -537
91 543 -35
795 45 -661
771 378 238
914 278 -484
578 819 412
251 271 -615
217 408 486
38 763 874
430 375 -459
632 129 -922
164 518 -6
526 587 911
643 589 398
741 391 -477
369 989 735
377 902 -550
850 7 -921
812 444 969
477 317 -75
66 260 -782
795 102 252
668 513 773
988 216 470
463 533 60
554 862 685
891 210 -901
527 591 847
346 438 338
97 109 -897
252 464 188
821 456 -563
442 954 1
675 90 -101
507 291 -447
65 88 -51
610 581 -900
530 343 -59
646 950 -753
957 165 347
309 627 424
496 302 -901
163 977 -381
306 311 -389
863 10 664
970 624 472
570 471 -227
48 366 223
339 658 249
891 203 390
480 178 -313
711 512 -919
803 67 139
639 330 -831
940 446 -20
137 257 323
41 240 -85
193 455 69
400 703 -637
767 247 424
87 434 -829
187 523 377
706 773 586
605 986 804
774 514 -48
493 904 -568
464 671 -877
356 153 22
823 845 0
659 280 -368
57 529 618
915 277 243
971 969 -240
6 109 -648
615 424 145
411 633 -644
748 572 -939
206 450 588
211 233 154
574 711 -519
896 876 886
253 900 866
342 505 -665
952 804 -335
930 766 742
735 159 -983
493 255 -120
798 661 -875
402 670 917
706 905 -23
766 26 -870
338 353 -669
500 651 -215
7 887 -105
561 20 -838
679 492 723
828 307 -593
353 729 142
637 57 952
825 347 -365
448 681 -302
171 994 602
409 835 401
70 196 471
731 795 126
735 314 -571
763 490 -928
368 876 -86
607 74 754
936 601 -192
261 54 109
673 649 -20
968 177 -860
393 487 296
63 279 339
565 124 506
842 657 -295
430 168 53
91 612 685
892 311 610
263 745 147
379 270 571
741 926 803
715 712 -11
6 957 869
788 206 371
484 64 482
418 716 553
437 928 -701
407 750 112
678 103 283
990 378 359
